experiment	file	q	beam_size	size_view	dedup	algo	view	key	value
VaryDeduplication	magic.arff	25	100	5	0	Approximative	1	Strength	0.710843045428517
VaryDeduplication	magic.arff	25	100	5	0	Approximative	1	Columns	V4, V1, V10, V3, V9
VaryDeduplication	magic.arff	25	100	5	0	Approximative	2	Strength	0.706873645995948
VaryDeduplication	magic.arff	25	100	5	0	Approximative	2	Columns	V10, V3, V7, V9, V4
VaryDeduplication	magic.arff	25	100	5	0	Approximative	3	Strength	0.702464832511758
VaryDeduplication	magic.arff	25	100	5	0	Approximative	3	Columns	V5, V1, V10, V3, V9
VaryDeduplication	magic.arff	25	100	5	0	Approximative	4	Strength	0.701271972421756
VaryDeduplication	magic.arff	25	100	5	0	Approximative	4	Columns	V10, V3, V7, V9, V5
VaryDeduplication	magic.arff	25	100	5	0	Approximative	5	Strength	0.677183310813433
VaryDeduplication	magic.arff	25	100	5	0	Approximative	5	Columns	V4, V1, V5, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	6	Strength	0.673066659014436
VaryDeduplication	magic.arff	25	100	5	0	Approximative	6	Columns	V5, V4, V7, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	7	Strength	0.655321114195758
VaryDeduplication	magic.arff	25	100	5	0	Approximative	7	Columns	V7, V1, V4, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	8	Strength	0.654225066841493
VaryDeduplication	magic.arff	25	100	5	0	Approximative	8	Columns	V4, V2, V10, V9, V3
VaryDeduplication	magic.arff	25	100	5	0	Approximative	9	Strength	0.649012988684897
VaryDeduplication	magic.arff	25	100	5	0	Approximative	9	Columns	V5, V2, V10, V9, V3
VaryDeduplication	magic.arff	25	100	5	0	Approximative	10	Strength	0.642790953800871
VaryDeduplication	magic.arff	25	100	5	0	Approximative	10	Columns	V6, V1, V4, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	11	Strength	0.639762608706304
VaryDeduplication	magic.arff	25	100	5	0	Approximative	11	Columns	V6, V4, V9, V7, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	12	Strength	0.638060068545094
VaryDeduplication	magic.arff	25	100	5	0	Approximative	12	Columns	V7, V1, V5, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	13	Strength	0.621787186143475
VaryDeduplication	magic.arff	25	100	5	0	Approximative	13	Columns	V6, V1, V5, V9, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	14	Strength	0.620815028403369
VaryDeduplication	magic.arff	25	100	5	0	Approximative	14	Columns	V4, V2, V10, V9, V7
VaryDeduplication	magic.arff	25	100	5	0	Approximative	15	Strength	0.61645685613817
VaryDeduplication	magic.arff	25	100	5	0	Approximative	15	Columns	V2, V1, V10, V9, V4
VaryDeduplication	magic.arff	25	100	5	0	Approximative	16	Strength	0.616354206301683
VaryDeduplication	magic.arff	25	100	5	0	Approximative	16	Columns	V6, V5, V9, V7, V10
VaryDeduplication	magic.arff	25	100	5	0	Approximative	17	Strength	0.603360135096784
VaryDeduplication	magic.arff	25	100	5	0	Approximative	17	Columns	V5, V2, V10, V9, V7
VaryDeduplication	magic.arff	25	100	5	0	Approximative	18	Strength	0.601827763605073
VaryDeduplication	magic.arff	25	100	5	0	Approximative	18	Columns	V2, V1, V10, V9, V5
VaryDeduplication	magic.arff	25	100	5	0	Approximative	19	Strength	0.594724264547379
VaryDeduplication	magic.arff	25	100	5	0	Approximative	19	Columns	V7, V1, V10, V9, V3
VaryDeduplication	magic.arff	25	100	5	0	Approximative	20	Strength	0.591340441951694
VaryDeduplication	magic.arff	25	100	5	0	Approximative	20	Columns	V7, V1, V4, V3, V9
VaryDeduplication	magic.arff	25	100	5	0	Approximative	21	Strength	0.587422968554376
VaryDeduplication	magic.arff	25	100	5	0	Approximative	21	Columns	V3, V1, V4, V5, V9
VaryDeduplication	magic.arff	25	100	5	0	Approximative	22	Strength	0.585624609889022
VaryDeduplication	magic.arff	25	100	5	0	Approximative	22	Columns	V7, V2, V10, V9, V3
VaryDeduplication	magic.arff	25	100	5	0	Approximative	23	Strength	0.583568733898025
VaryDeduplication	magic.arff	25	100	5	0	Approximative	23	Columns	V2, V1, V10, V9, V3
VaryDeduplication	magic.arff	25	100	5	0	Approximative	24	Strength	0.580933954030426
VaryDeduplication	magic.arff	25	100	5	0	Approximative	24	Columns	V7, V3, V5, V9, V4
VaryDeduplication	magic.arff	25	100	5	0	Approximative	25	Strength	0.579989321133585
VaryDeduplication	magic.arff	25	100	5	0	Approximative	25	Columns	V7, V1, V5, V3, V9
VaryDeduplication	magic.arff	25	100	5	0	Approximative	1	NaiveBayes - F1	0.597090101134619
VaryDeduplication	magic.arff	25	100	5	0	Approximative	2	NaiveBayes - F1	0.612641868929818
VaryDeduplication	magic.arff	25	100	5	0	Approximative	3	NaiveBayes - F1	0.597425012966736
VaryDeduplication	magic.arff	25	100	5	0	Approximative	4	NaiveBayes - F1	0.613235782832714
VaryDeduplication	magic.arff	25	100	5	0	Approximative	5	NaiveBayes - F1	0.604738213465274
VaryDeduplication	magic.arff	25	100	5	0	Approximative	6	NaiveBayes - F1	0.613363949262676
VaryDeduplication	magic.arff	25	100	5	0	Approximative	7	NaiveBayes - F1	0.580643821869706
VaryDeduplication	magic.arff	25	100	5	0	Approximative	8	NaiveBayes - F1	0.561218372504516
VaryDeduplication	magic.arff	25	100	5	0	Approximative	9	NaiveBayes - F1	0.561376160274249
VaryDeduplication	magic.arff	25	100	5	0	Approximative	10	NaiveBayes - F1	0.570495933877221
VaryDeduplication	magic.arff	25	100	5	0	Approximative	11	NaiveBayes - F1	0.590892235686859
VaryDeduplication	magic.arff	25	100	5	0	Approximative	12	NaiveBayes - F1	0.581970202309094
