experiment	file	q	beam_size	size_view	dedup	algo	key	value
VaryDeduplication	insurance.arff	25	100	5	0	Approximative	Time-Graph	53.624
VaryDeduplication	insurance.arff	25	100	5	0	Approximative	Time-Search	1.799
VaryDeduplication	insurance.arff	25	100	5	0	Approximative	Time-PostProcess	3.498
VaryDeduplication	insurance.arff	25	100	5	0	Approximative	Time	58.922
VaryDeduplication	insurance.arff	25	100	5	25	Approximative	Time-Graph	62.036
VaryDeduplication	insurance.arff	25	100	5	25	Approximative	Time-Search	6.44000000000003
VaryDeduplication	insurance.arff	25	100	5	25	Approximative	Time-PostProcess	1.97899999999998
VaryDeduplication	insurance.arff	25	100	5	25	Approximative	Time	70.455
VaryDeduplication	insurance.arff	25	100	5	50	Approximative	Time-Graph	72.886
VaryDeduplication	insurance.arff	25	100	5	50	Approximative	Time-Search	0.876999999999953
VaryDeduplication	insurance.arff	25	100	5	50	Approximative	Time-PostProcess	2.16400000000004
VaryDeduplication	insurance.arff	25	100	5	50	Approximative	Time	75.927
VaryDeduplication	insurance.arff	25	100	5	75	Approximative	Time-Graph	72.707
VaryDeduplication	insurance.arff	25	100	5	75	Approximative	Time-Search	0.879000000000019
VaryDeduplication	insurance.arff	25	100	5	75	Approximative	Time-PostProcess	2.17399999999998
VaryDeduplication	insurance.arff	25	100	5	75	Approximative	Time	75.76
VaryDeduplication	insurance.arff	25	100	5	100	Approximative	Time-Graph	72.674
VaryDeduplication	insurance.arff	25	100	5	100	Approximative	Time-Search	0.879999999999995
VaryDeduplication	insurance.arff	25	100	5	100	Approximative	Time-PostProcess	2.16300000000001
VaryDeduplication	insurance.arff	25	100	5	100	Approximative	Time	75.717
VaryDeduplication	bank.arff	25	100	5	0	Approximative	Time-Graph	14.6109999999999
VaryDeduplication	bank.arff	25	100	5	0	Approximative	Time-Search	0.50100000000009
VaryDeduplication	bank.arff	25	100	5	0	Approximative	Time-PostProcess	22.0799999999999
VaryDeduplication	bank.arff	25	100	5	0	Approximative	Time	37.192
VaryDeduplication	bank.arff	25	100	5	25	Approximative	Time-Graph	14.691
VaryDeduplication	bank.arff	25	100	5	25	Approximative	Time-Search	1.13100000000009
VaryDeduplication	bank.arff	25	100	5	25	Approximative	Time-PostProcess	18.8869999999999
VaryDeduplication	bank.arff	25	100	5	25	Approximative	Time	34.71
VaryDeduplication	bank.arff	25	100	5	50	Approximative	Time-Graph	14.712
VaryDeduplication	bank.arff	25	100	5	50	Approximative	Time-Search	1.99599999999987
VaryDeduplication	bank.arff	25	100	5	50	Approximative	Time-PostProcess	16.6670000000001
VaryDeduplication	bank.arff	25	100	5	50	Approximative	Time	33.375
VaryDeduplication	bank.arff	25	100	5	75	Approximative	Time-Graph	14.6779999999999
VaryDeduplication	bank.arff	25	100	5	75	Approximative	Time-Search	1.96199999999999
VaryDeduplication	bank.arff	25	100	5	75	Approximative	Time-PostProcess	16.6850000000002
VaryDeduplication	bank.arff	25	100	5	75	Approximative	Time	33.325
VaryDeduplication	bank.arff	25	100	5	100	Approximative	Time-Graph	14.683
VaryDeduplication	bank.arff	25	100	5	100	Approximative	Time-Search	1.99600000000009
VaryDeduplication	bank.arff	25	100	5	100	Approximative	Time-PostProcess	16.6749999999997
VaryDeduplication	bank.arff	25	100	5	100	Approximative	Time	33.3539999999998
