experiment	file	q	beam_size	size_view	dedup	algo	key	value
VaryAlgos	magic.arff	1	48	24	100	4S	Time	6.39
VaryAlgos	magic.arff	1	48	24	100	4S_official	Time	6.337
VaryAlgos	magic.arff	1	48	24	100	Exhaustive	Time	550.624
VaryAlgos	magic.arff	1	48	24	100	Clique	Time-Graph	2.17599999999948
VaryAlgos	magic.arff	1	48	24	100	Clique	Time-Search	0.00200000000040745
VaryAlgos	magic.arff	1	48	24	100	Clique	Time-PostProcess	0.251999999999498
VaryAlgos	magic.arff	1	48	24	100	Clique	Time	2.42999999999938
VaryAlgos	magic.arff	1	48	24	100	Approximative	Time-Graph	2.52199999999993
VaryAlgos	magic.arff	1	48	24	100	Approximative	Time-Search	0.449999999999818
VaryAlgos	magic.arff	1	48	24	100	Approximative	Time-PostProcess	9.78099999999995
VaryAlgos	magic.arff	1	48	24	100	Approximative	Time	12.7529999999997
VaryAlgos	pendigits.arff	9	20	10	100	4S	Time	3.64099999999962
VaryAlgos	pendigits.arff	9	20	10	100	4S_official	Time	3.57999999999991
VaryAlgos	pendigits.arff	9	20	10	100	Wrap_kNN	Time	664.844
VaryAlgos	pendigits.arff	9	20	10	100	Exhaustive	Time	185.816
VaryAlgos	pendigits.arff	9	20	10	100	Clique	Time-Graph	2.38000000000011
VaryAlgos	pendigits.arff	9	20	10	100	Clique	Time-Search	0.00199999999949796
VaryAlgos	pendigits.arff	9	20	10	100	Clique	Time-PostProcess	0.275000000000546
VaryAlgos	pendigits.arff	9	20	10	100	Clique	Time	2.65700000000015
VaryAlgos	pendigits.arff	9	20	10	100	Approximative	Time-Graph	2.65300000000025
VaryAlgos	pendigits.arff	9	20	10	100	Approximative	Time-Search	0.192000000000007
VaryAlgos	pendigits.arff	9	20	10	100	Approximative	Time-PostProcess	1.81099999999969
VaryAlgos	pendigits.arff	9	20	10	100	Approximative	Time	4.65599999999995
VaryBeam	magic.arff	25	25	5	100	Approximative	Time-Graph	2.54600000000028
VaryBeam	magic.arff	25	25	5	100	Approximative	Time-Search	0.0670000000000073
VaryBeam	magic.arff	25	25	5	100	Approximative	Time-PostProcess	2.87299999999959
VaryBeam	magic.arff	25	25	5	100	Approximative	Time	5.48599999999988
VaryBeam	magic.arff	25	50	5	100	Approximative	Time-Graph	2.55599999999959
VaryBeam	magic.arff	25	50	5	100	Approximative	Time-Search	0.132999999999811
VaryBeam	magic.arff	25	50	5	100	Approximative	Time-PostProcess	5.52800000000025
VaryBeam	magic.arff	25	50	5	100	Approximative	Time	8.21699999999964
VaryBeam	magic.arff	25	100	5	100	Approximative	Time-Graph	2.55799999999999
VaryBeam	magic.arff	25	100	5	100	Approximative	Time-Search	0.212000000000444
VaryBeam	magic.arff	25	100	5	100	Approximative	Time-PostProcess	10.8090000000002
VaryBeam	magic.arff	25	100	5	100	Approximative	Time	13.5799999999999
VaryBeam	magic.arff	25	250	5	100	Approximative	Time-Graph	2.53700000000026
VaryBeam	magic.arff	25	250	5	100	Approximative	Time-Search	0.351999999999862
VaryBeam	magic.arff	25	250	5	100	Approximative	Time-PostProcess	25.0320000000002
VaryBeam	magic.arff	25	250	5	100	Approximative	Time	27.9219999999996
VaryBeam	pendigits.arff	25	25	5	100	Approximative	Time-Graph	2.67499999999927
VaryBeam	pendigits.arff	25	25	5	100	Approximative	Time-Search	0.079000000000633
VaryBeam	pendigits.arff	25	25	5	100	Approximative	Time-PostProcess	1.33299999999963
VaryBeam	pendigits.arff	25	25	5	100	Approximative	Time	4.08699999999953
VaryBeam	pendigits.arff	25	50	5	100	Approximative	Time-Graph	2.68199999999979
VaryBeam	pendigits.arff	25	50	5	100	Approximative	Time-Search	0.226999999999862
VaryBeam	pendigits.arff	25	50	5	100	Approximative	Time-PostProcess	2.70600000000013
VaryBeam	pendigits.arff	25	50	5	100	Approximative	Time	5.61499999999978
VaryBeam	pendigits.arff	25	100	5	100	Approximative	Time-Graph	2.6840000000002
VaryBeam	pendigits.arff	25	100	5	100	Approximative	Time-Search	0.630000000000109
VaryBeam	pendigits.arff	25	100	5	100	Approximative	Time-PostProcess	5.39900000000034
VaryBeam	pendigits.arff	25	100	5	100	Approximative	Time	8.71300000000065
VaryBeam	pendigits.arff	25	250	5	100	Approximative	Time-Graph	2.72000000000025
VaryBeam	pendigits.arff	25	250	5	100	Approximative	Time-Search	1.41899999999987
VaryBeam	pendigits.arff	25	250	5	100	Approximative	Time-PostProcess	13.9870000000001
VaryBeam	pendigits.arff	25	250	5	100	Approximative	Time	18.1260000000002
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-Graph	2.51299999999992
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-Search	0.324000000000524
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-PostProcess	9.98399999999947
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time	12.8209999999999
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-Graph	2.52499999999964
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-Search	0.215000000000146
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-PostProcess	10.8119999999999
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time	13.5529999999999
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-Graph	2.51800000000003
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-Search	0.216999999999643
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-PostProcess	10.808
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time	13.5429999999997
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-Graph	2.53000000000065
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-Search	0.215000000000146
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-PostProcess	10.8199999999997
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time	13.5650000000005
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-Graph	2.54600000000028
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-Search	0.211999999999534
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-PostProcess	10.8210000000008
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time	13.5790000000006
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-Graph	2.72600000000057
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-Search	2.38199999999961
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-PostProcess	5.69300000000021
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time	10.8010000000004
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-Graph	2.69399999999951
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-Search	4.6820000000007
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-PostProcess	5.48499999999967
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time	12.8609999999999
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-Graph	2.72000000000025
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-Search	0.631000000000313
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-PostProcess	5.34699999999975
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time	8.69800000000032
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-Graph	2.6889999999994
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-Search	0.630000000000109
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-PostProcess	5.39500000000044
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time	8.71399999999994
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-Graph	2.69700000000012
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-Search	0.630999999999403
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-PostProcess	5.39400000000023
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time	8.72199999999975
