experiment	file	q	beam_size	size_view	dedup	algo	view	key	value
VaryAlgos	insurance.arff	19	44	22	100	4S	1	Strength	0.00823553564305168
VaryAlgos	insurance.arff	19	44	22	100	4S	1	Columns	V11, V10
VaryAlgos	insurance.arff	19	44	22	100	4S	2	Strength	0.144285729046659
VaryAlgos	insurance.arff	19	44	22	100	4S	2	Columns	V12, V10, V24, V29, V30, V31, V34, V37, V39, V42, V43, V35, V36
VaryAlgos	insurance.arff	19	44	22	100	4S	3	Strength	0.121067381417875
VaryAlgos	insurance.arff	19	44	22	100	4S	3	Columns	V38, V16, V25, V35, V36, V37, V42, V39, V40
VaryAlgos	insurance.arff	19	44	22	100	4S	4	Strength	0.150514422966983
VaryAlgos	insurance.arff	19	44	22	100	4S	4	Columns	V22, V1, V5, V17, V18, V24, V23, V16, V19, V25, V28, V35, V36, V42, V43, V29, V30, V31, V37, V39, V34, V26
VaryAlgos	insurance.arff	19	44	22	100	4S	5	Strength	0.145252017536027
VaryAlgos	insurance.arff	19	44	22	100	4S	5	Columns	V32, V10, V12, V13, V34, V37, V39, V42, V43, V15, V3, V30, V31, V29, V33
VaryAlgos	insurance.arff	19	44	22	100	4S	6	Strength	0.248856644690653
VaryAlgos	insurance.arff	19	44	22	100	4S	6	Columns	V59, V44, V65, V80, V40, V16, V18, V19, V25, V28, V30, V31, V35, V36, V37, V42, V43
VaryAlgos	insurance.arff	19	44	22	100	4S	7	Strength	0.129207981220526
VaryAlgos	insurance.arff	19	44	22	100	4S	7	Columns	V27, V17, V18, V28, V33, V10, V30, V31, V34, V35, V36
VaryAlgos	insurance.arff	19	44	22	100	4S	8	Strength	0.1250236326522
VaryAlgos	insurance.arff	19	44	22	100	4S	8	Columns	V9, V7, V30, V31, V14, V3, V4, V15
VaryAlgos	insurance.arff	19	44	22	100	4S	9	Strength	0.139190434181252
VaryAlgos	insurance.arff	19	44	22	100	4S	9	Columns	V21, V1, V5, V22, V4, V3, V13, V15
VaryAlgos	insurance.arff	19	44	22	100	4S	10	Strength	0.11139852114786
VaryAlgos	insurance.arff	19	44	22	100	4S	10	Columns	V20, V16, V25, V27, V17, V18, V29
VaryAlgos	insurance.arff	19	44	22	100	4S	11	Strength	0.0929490327596962
VaryAlgos	insurance.arff	19	44	22	100	4S	11	Columns	V41, V40, V42, V6, V18, V19
VaryAlgos	insurance.arff	19	44	22	100	4S	12	Strength	0.0116627988720719
VaryAlgos	insurance.arff	19	44	22	100	4S	12	Columns	V8, V7, V45, V66
VaryAlgos	insurance.arff	19	44	22	100	4S	13	Strength	0.00200158336185019
VaryAlgos	insurance.arff	19	44	22	100	4S	13	Columns	V46, V67, V49, V70
VaryAlgos	insurance.arff	19	44	22	100	4S	14	Strength	0.00290205491240214
VaryAlgos	insurance.arff	19	44	22	100	4S	14	Columns	V51, V72, V54, V75
VaryAlgos	insurance.arff	19	44	22	100	4S	15	Strength	0.0048062284464333
VaryAlgos	insurance.arff	19	44	22	100	4S	15	Columns	V55, V76, V57, V78
VaryAlgos	insurance.arff	19	44	22	100	4S	16	Strength	0.00340027212993776
VaryAlgos	insurance.arff	19	44	22	100	4S	16	Columns	V62, V83, V64, V85
VaryAlgos	insurance.arff	19	44	22	100	4S	17	Strength	0.0274881151653257
VaryAlgos	insurance.arff	19	44	22	100	4S	17	Columns	V68, V47, V73, V52
VaryAlgos	insurance.arff	19	44	22	100	4S	18	Strength	0.0305293527862061
VaryAlgos	insurance.arff	19	44	22	100	4S	18	Columns	V67, V52, V47, V44
VaryAlgos	insurance.arff	19	44	22	100	4S	19	Strength	0.0386051336843947
VaryAlgos	insurance.arff	19	44	22	100	4S	19	Columns	V11, V4, V6, V7
VaryAlgos	insurance.arff	19	44	22	100	4S	1	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	2	NaiveBayes - F1	0.157848893972466
VaryAlgos	insurance.arff	19	44	22	100	4S	3	NaiveBayes - F1	0.119198551774185
VaryAlgos	insurance.arff	19	44	22	100	4S	4	NaiveBayes - F1	0.165819736187803
VaryAlgos	insurance.arff	19	44	22	100	4S	5	NaiveBayes - F1	0.144110343852068
VaryAlgos	insurance.arff	19	44	22	100	4S	6	NaiveBayes - F1	0.169460483343405
VaryAlgos	insurance.arff	19	44	22	100	4S	7	NaiveBayes - F1	0.0946020925867441
VaryAlgos	insurance.arff	19	44	22	100	4S	8	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	9	NaiveBayes - F1	0.0748102139406487
VaryAlgos	insurance.arff	19	44	22	100	4S	10	NaiveBayes - F1	0.0998491391766077
VaryAlgos	insurance.arff	19	44	22	100	4S	11	NaiveBayes - F1	0.0714686720354104
VaryAlgos	insurance.arff	19	44	22	100	4S	12	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	13	NaiveBayes - F1	0.00625
VaryAlgos	insurance.arff	19	44	22	100	4S	14	NaiveBayes - F1	0.0402272019919079
VaryAlgos	insurance.arff	19	44	22	100	4S	15	NaiveBayes - F1	0.0888196802074718
VaryAlgos	insurance.arff	19	44	22	100	4S	16	NaiveBayes - F1	0.119310959017984
VaryAlgos	insurance.arff	19	44	22	100	4S	17	NaiveBayes - F1	0.0537634408602151
VaryAlgos	insurance.arff	19	44	22	100	4S	18	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	19	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	1	kNN - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	2	kNN - F1	0.0285714285714286
VaryAlgos	insurance.arff	19	44	22	100	4S	3	kNN - F1	0.0445304437564499
VaryAlgos	insurance.arff	19	44	22	100	4S	4	kNN - F1	0.0523809523809524
VaryAlgos	insurance.arff	19	44	22	100	4S	5	kNN - F1	0.0392444856730571
VaryAlgos	insurance.arff	19	44	22	100	4S	6	kNN - F1	0.0228205128205128
VaryAlgos	insurance.arff	19	44	22	100	4S	7	kNN - F1	0.0575657894736842
VaryAlgos	insurance.arff	19	44	22	100	4S	8	kNN - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	9	kNN - F1	0.0341005967604433
VaryAlgos	insurance.arff	19	44	22	100	4S	10	kNN - F1	0.0579831932773109
VaryAlgos	insurance.arff	19	44	22	100	4S	11	kNN - F1	0.0390715159993006
VaryAlgos	insurance.arff	19	44	22	100	4S	12	kNN - F1	0
VaryAlgos	insurance.arff	19	44	22	100	4S	13	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	14	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	15	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	16	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	17	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	18	kNN - F1	NA
VaryAlgos	insurance.arff	19	44	22	100	4S	19	kNN - F1	0.058974358974359
VaryAlgos	insurance.arff	19	44	22	100	Clique	1	Strength	0.0495301975307108
VaryAlgos	insurance.arff	19	44	22	100	Clique	1	Columns	V13, V1, V8
VaryAlgos	insurance.arff	19	44	22	100	Clique	2	Strength	0.0455841830445687
VaryAlgos	insurance.arff	19	44	22	100	Clique	2	Columns	V1, V8, V7
VaryAlgos	insurance.arff	19	44	22	100	Clique	3	Strength	0.0423263898715556
VaryAlgos	insurance.arff	19	44	22	100	Clique	3	Columns	V12, V1, V8
VaryAlgos	insurance.arff	19	44	22	100	Clique	4	Strength	0.0346417466957698
VaryAlgos	insurance.arff	19	44	22	100	Clique	4	Columns	V7, V8, V32
VaryAlgos	insurance.arff	19	44	22	100	Clique	5	Strength	0.0314447106532869
VaryAlgos	insurance.arff	19	44	22	100	Clique	5	Columns	V1, V8, V3
VaryAlgos	insurance.arff	19	44	22	100	Clique	6	Strength	0.0304208754827462
VaryAlgos	insurance.arff	19	44	22	100	Clique	6	Columns	V1, V8, V5, V2
VaryAlgos	insurance.arff	19	44	22	100	Clique	7	Strength	0.0285224578920067
VaryAlgos	insurance.arff	19	44	22	100	Clique	7	Columns	V18, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	8	Strength	0.0250461173250809
VaryAlgos	insurance.arff	19	44	22	100	Clique	8	Columns	V30, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	9	Strength	0.024933651472141
VaryAlgos	insurance.arff	19	44	22	100	Clique	9	Columns	V31, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	10	Strength	0.0248418835182971
VaryAlgos	insurance.arff	19	44	22	100	Clique	10	Columns	V22, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	11	Strength	0.0240355777718486
VaryAlgos	insurance.arff	19	44	22	100	Clique	11	Columns	V10, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	12	Strength	0.0234722513707029
VaryAlgos	insurance.arff	19	44	22	100	Clique	12	Columns	V28, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	13	Strength	0.0226694157099079
VaryAlgos	insurance.arff	19	44	22	100	Clique	13	Columns	V9, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	14	Strength	0.0223912315883554
VaryAlgos	insurance.arff	19	44	22	100	Clique	14	Columns	V26, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	15	Strength	0.022273708728533
VaryAlgos	insurance.arff	19	44	22	100	Clique	15	Columns	V17, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	16	Strength	0.022268427860455
VaryAlgos	insurance.arff	19	44	22	100	Clique	16	Columns	V23, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	17	Strength	0.0219366499449372
VaryAlgos	insurance.arff	19	44	22	100	Clique	17	Columns	V8, V32, V3
VaryAlgos	insurance.arff	19	44	22	100	Clique	18	Strength	0.0216776298597461
VaryAlgos	insurance.arff	19	44	22	100	Clique	18	Columns	V34, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	19	Strength	0.0216063933216128
VaryAlgos	insurance.arff	19	44	22	100	Clique	19	Columns	V19, V1
VaryAlgos	insurance.arff	19	44	22	100	Clique	1	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	2	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	3	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	4	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	5	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	6	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	7	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	8	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	9	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	10	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	11	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	12	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	13	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	14	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	15	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	16	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	17	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	18	NaiveBayes - F1	0
VaryAlgos	insurance.arff	19	44	22	100	Clique	19	NaiveBayes - F1	0.0313768918420081
VaryAlgos	insurance.arff	19	44	22	100	Clique	1	kNN - F1	0.0505050505050505
